1,0.91486436,0.81263775,0.35360998,0.72562605,0.7089828,0.7784972,0.93520266,0.8303588,0.868869,0.51034945,0.9027514,0.38794976,x,x,x,x,x,x,x,x,x,0.7274749279022217
2,0.869626,0.7312941,0.30655983,0.7443733,0.6081057,0.6583105,0.9221511,0.7732183,0.81496423,0.3468097,0.8380016,0.24231525,0.6191678,x,x,x,x,x,x,x,x,0.6519151926040649
3,0.8499439,0.77451867,0.30639422,0.67956626,0.56285655,0.5958573,0.905684,0.7456989,0.73172575,0.21363278,0.4986158,0.22104907,0.05157918,0.2409772,x,x,x,x,x,x,x,0.5270070433616638
4,0.79529446,0.72200316,0.36693013,0.6573836,0.4389408,0.5785954,0.86202866,0.75958306,0.72218275,0.15340114,0.67253417,0.1878239,0.3455386,0.3080728,0.26727784,x,x,x,x,x,x,0.5225059986114502
5,0.8369624,0.812446,0.39308777,0.72949994,0.5264651,0.6268873,0.8797706,0.8046579,0.763748,0.14609903,0.6744094,0.013545593,0.024958039,0.32764617,0.5245865,0.64822954,x,x,x,x,x,0.5458124279975891
6,0.81283313,0.74482256,0.37926555,0.66045904,0.49032393,0.59079933,0.8493693,0.7727439,0.7517748,0.15808009,0.62428296,0.029523749,0.010001418,0.2941389,0.48541668,0.5984512,0.018777316,x,x,x,x,0.48653316497802734
7,0.7628613,0.7709048,0.38083848,0.6322387,0.39543462,0.52527124,0.7948699,0.74187124,0.7753168,0.094476536,0.27148524,0.034362257,0.023568466,0.24930021,0.42141914,0.5388005,0.0007256857,0.167338,x,x,x,0.42117127776145935
8,0.73209393,0.7755513,0.3679502,0.6231965,0.5349654,0.56709087,0.7644006,0.7957093,0.78886944,0.21323659,0.4328306,0.012039695,0.005812499,0.26778933,0.5895936,0.70819926,0.0,0.0,0.056532715,x,x,0.4334664046764374
9,0.5392994,0.75228244,0.3599923,0.45072818,0.5175271,0.5243545,0.55683047,0.7720866,0.74354666,0.07410777,0.34817755,0.031937946,0.0075485813,0.24992667,0.52598333,0.5485878,0.0,0.0,0.03387622,0.16283749,x,0.35998156666755676
10,0.18274668,0.6990404,0.34189057,0.50035036,0.46101364,0.5186173,0.43259102,0.76870346,0.7754675,0.105457395,0.25220236,0.030498816,0.008620001,0.25358048,0.5701379,0.64870393,0.0,0.0,0.03179112,0.16158654,0.018239656,0.32196375727653503
