0,0.9607292,0.9270969,0.45091942,0.93880963,0.7989034,0.8462792,0.9525397,0.88713235,0.96021277,0.558961,0.9532144,x,x,x,x,x,x,x,x,x,x,0.8395271301269531
1,0.9473856,0.92610306,0.4491173,0.9295124,0.81662,0.8443964,0.94571996,0.87573653,0.95635957,0.54919964,0.94841063,0.55747694,x,x,x,x,x,x,x,x,x,0.8121698498725891
2,0.9424024,0.9283921,0.4532655,0.9400486,0.8163702,0.8410531,0.9446704,0.87682146,0.93476564,0.5094787,0.9406954,0.47676894,0.86817294,x,x,x,x,x,x,x,x,0.8056080937385559
3,0.95274967,0.9298283,0.4543337,0.93135655,0.81184065,0.8364428,0.9396975,0.8812668,0.9414944,0.5256306,0.86833465,0.57085776,0.8834183,0.80249363,x,x,x,x,x,x,x,0.8092675805091858
4,0.952081,0.9294407,0.41547504,0.9415328,0.8059495,0.8321576,0.94370246,0.8739987,0.9373789,0.52833235,0.9079218,0.5584718,0.8866433,0.82812387,0.74849486,x,x,x,x,x,x,0.805980384349823
5,0.94032174,0.9296156,0.420393,0.93646646,0.77516824,0.8329099,0.94394994,0.8606919,0.93752277,0.46062523,0.9231125,0.553328,0.876046,0.8477275,0.74006957,0.87264013,x,x,x,x,x,0.8031617999076843
6,0.933178,0.92375386,0.38431722,0.92961514,0.77927506,0.81873417,0.9376529,0.85023195,0.93168575,0.43867218,0.92687035,0.5405281,0.8634947,0.872065,0.70220226,0.8647523,0.56546605,x,x,x,x,0.7801467776298523
7,0.9386515,0.92312896,0.4220164,0.93487334,0.7709746,0.8260247,0.9361807,0.84491825,0.93630147,0.42961022,0.8139665,0.5709792,0.88454396,0.91212386,0.74382573,0.8693763,0.5504113,0.68863565,x,x,x,0.7775857448577881
8,0.9199478,0.9129748,0.40052193,0.91079134,0.7782708,0.82779676,0.9189613,0.83996063,0.9286228,0.46382153,0.7627662,0.567062,0.8802091,0.8997362,0.75027066,0.86855906,0.5206717,0.6538546,0.35431594,x,x,0.7452165484428406
9,0.92228246,0.8986379,0.3719043,0.876785,0.8037163,0.83651686,0.6288827,0.83868396,0.92779744,0.38197833,0.82318956,0.53002053,0.8901475,0.90171456,0.77453274,0.86534727,0.5496835,0.76683897,0.33557665,0.5099206,x,0.7217079401016235
10,0.9136931,0.8996865,0.34099087,0.8941184,0.7996008,0.82389456,0.822138,0.8299411,0.92662114,0.35583502,0.85291344,0.5156243,0.8900259,0.8761037,0.7263211,0.8642825,0.53445786,0.8159503,0.32245496,0.5396982,0.55289483,0.7189165949821472
